Quotes,Labels
Trying is the first step toward failure.,0
He who laughs last didn’t get the joke.,0
The reward for good work is more work,0
I love mankind; it’s people I can’t stand!,0
"Accept that you’re just a product, not a gift.",0
Happy people do not wake up for breakfast.,0
Too much of a good thing can be wonderful.,0
I am free of all prejudice. I hate everyone equally.,0
Not everything is a lesson. Sometimes you just fail.,0
Hope is the first step on the road to disappointment.,0
Life is pain. Anyone who says otherwise is selling something.,0
The light at the end of the tunnel has been turned off due to budget cuts.,0
I’ve developed a new philosophy. I only dread one day at a time.,0
We learn from experience that men never learn anything from experience.,0
Do not take life too seriously. You will never get out of it alive.,0
"If at first, you don’t succeed, then skydiving definitely isn’t for you.",0
"There are no stupid questions, but there are a LOT of inquisitive idiots.",0
It could be that your purpose in life is to serve as a warning to others,0
Always remember that you are absolutely unique. Just like everyone else.,0
Try & try until you cannot succeed.,0
Do one thing every day that scares you.,1
"It’s no use going back to yesterday, because I was a different person then.",1
"Very often, a change of self is needed more than a change of scene.",1
Do what you feel in your heart to be right?for you’ll be criticized anyway.,1
Happiness is not something ready made. It comes from your own actions.,1
"Whatever you are, be a good one.",1
The same boiling water that softens the potato hardens the egg. It’s what you’re made of. Not the circumstances.,1
If we have the attitude that it’s going to be a great day it usually is.,1
You can either experience the pain of discipline or the pain of regret. The choice is yours.,1
Impossible is just an opinion.,1
Your passion is waiting for your courage to catch up.,1
"Magic is believing in yourself. If you can make that happen, you can make anything happen.",1
"If something is important enough, even if the odds are stacked against you, you should still do it.",1
"Hold the vision, trust the process.",1
Don’t be afraid to give up the good to go for the great.,1
People who wonder if the glass is half empty or full miss the point. The glass is refillable.,1
One day or day one. You decide.,1
Invest in your dreams. Grind now. Shine later.,1
"It’s not the load that breaks you down, it’s the way you carry it.",1
Everything you can imagine is real.,1
